date,tobs
2016-08-23,77.0
2016-08-24,77.0
2016-08-25,80.0
2016-08-26,80.0
2016-08-27,75.0
2016-08-28,73.0
2016-08-29,78.0
2016-08-30,77.0
2016-08-31,78.0
2016-09-01,80.0
2016-09-02,80.0
2016-09-03,78.0
2016-09-04,78.0
2016-09-05,78.0
2016-09-06,73.0
2016-09-07,74.0
2016-09-08,80.0
2016-09-09,79.0
2016-09-10,77.0
2016-09-11,80.0
2016-09-12,76.0
2016-09-13,79.0
2016-09-14,75.0
2016-09-15,79.0
2016-09-16,78.0
2016-09-17,79.0
2016-09-18,78.0
2016-09-19,78.0
2016-09-20,76.0
2016-09-21,74.0
2016-09-22,77.0
2016-09-23,78.0
2016-09-24,79.0
2016-09-25,79.0
2016-09-26,77.0
2016-09-27,80.0
2016-09-28,78.0
2016-09-29,78.0
2016-09-30,78.0
2016-10-01,77.0
2016-10-02,79.0
2016-10-03,79.0
2016-10-04,79.0
2016-10-05,79.0
2016-10-06,75.0
2016-10-07,76.0
2016-10-08,73.0
2016-10-09,72.0
2016-10-10,71.0
2016-10-11,77.0
2016-10-12,79.0
2016-10-13,78.0
2016-10-14,79.0
2016-10-15,77.0
2016-10-16,79.0
2016-10-17,77.0
2016-10-18,78.0
2016-10-19,78.0
2016-10-20,78.0
2016-10-21,78.0
2016-10-22,77.0
2016-10-23,74.0
2016-10-24,75.0
2016-10-25,76.0
2016-10-26,73.0
2016-10-27,76.0
2016-10-28,74.0
2016-10-29,77.0
2016-10-30,76.0
2016-10-31,76.0
2016-11-01,74.0
2016-11-02,75.0
2016-11-03,75.0
2016-11-04,75.0
2016-11-05,75.0
2016-11-06,71.0
2016-11-07,63.0
2016-11-08,70.0
2016-11-09,68.0
2016-11-10,67.0
2016-11-11,77.0
2016-11-12,74.0
2016-11-13,77.0
2016-11-14,76.0
2016-11-15,76.0
2016-11-16,75.0
2016-11-17,76.0
2016-11-18,75.0
2016-11-19,73.0
2016-11-20,75.0
2016-11-21,73.0
2016-11-22,75.0
2016-11-23,74.0
2016-11-24,75.0
2016-11-25,74.0
2016-11-26,75.0
2016-11-27,73.0
2016-11-28,75.0
2016-11-29,73.0
2016-11-30,73.0
2016-12-01,74.0
2016-12-02,70.0
2016-12-03,72.0
2016-12-04,70.0
2016-12-05,67.0
